filename,dataset_variant,token_usage_input,token_usage_output,runtime_ms,peak_memory_bytes,formatting_pass_pct,pytest_filename,pytest_pass_pct,checksum,row_count,snapshot_pass
task1a.sql,clean,18,83,6,,100.0,,,206b393c4ee2f0fdf1f18ee9731279b7be36358442a43a25f9db997557a8da68,81,False
task1a.sql,null_heavy,18,83,1,,100.0,,,206b393c4ee2f0fdf1f18ee9731279b7be36358442a43a25f9db997557a8da68,81,False
task1a.sql,duplicate_heavy,18,83,1,,100.0,,,1efd29e9e82a4e057871ece4e618f1ba5bccc608a5e17571ac384414d2348b79,81,False
task1a.sql,medium,18,83,1,,100.0,,,e1c14e8d74ee1a274b657e6b4db85c10a467f3fee594ea62be78cc58db9a9604,405,False
task1a.sql,large,18,83,1,,100.0,,,c79b7beacd0e120a41ad7c3b59ba1d0031de625f78f149f53535710733cdc01d,1608,False
task2a.sql,clean,13,92,4,,100.0,,,76517ea93a27e5dacea515d0fbc7951da0869f4581c602aa615298702eb3adc3,4,False
task2a.sql,null_heavy,13,92,2,,100.0,,,fdb4e8d1374a84e1d457d5d2ef784fc011bf57fe366c81f19c4df8992f08e393,4,False
task2a.sql,duplicate_heavy,13,92,1,,100.0,,,0def4d95598d7c66f7a9e36494ce2e11b95302f91450c70d5364b708163fc079,4,False
task2a.sql,medium,13,92,2,,100.0,,,5c9bdbe076ef6021b08eebf9d4e890b6a7328da2dab5b73f986e46841dec0452,4,False
task2a.sql,large,13,92,9,,100.0,,,f60913ceb5023ae67413258c869264f47efd3f891ac4006c2c81a650a4ec05f9,4,False
task3a.sql,clean,18,94,3,,100.0,,,ab0b6122dcc77eb23d791ebea4956048a4b5422eede29b4d8c10948f826b1c0d,4,False
task3a.sql,null_heavy,18,94,2,,100.0,,,11cde612bdbe37cd8afe260f5a30bb7cd65fa8969c8bc7efc0313f3d8b4972c2,4,False
task3a.sql,duplicate_heavy,18,94,2,,100.0,,,cc21932884b4fb77611577d2a4decfdad23d4da3801265b129ea5b8f1d7dd742,4,False
task3a.sql,medium,18,94,3,,100.0,,,14f944fa9299c2b8cf5027566b3fdac2f5289861db45274e887af65d8f10df44,4,False
task3a.sql,large,18,94,10,,100.0,,,4db24105ac9efd868b3ebd446595342e38b803417cbdda8fd08128ee4b9a3d6e,4,False
task4a.sql,clean,15,113,4,,100.0,,,caf0d57fb243c01aed8c147b8a436ca4476f03464747fe476cf5ec2a2dd05b00,100,False
task4a.sql,null_heavy,15,113,3,,100.0,,,cc5e5a9a82002c906063fee4eda4a201746c85d7d146656a794124ad78016cc3,100,False
task4a.sql,duplicate_heavy,15,113,3,,100.0,,,655b55e47e7a4f88e66a4c05f92c78fe7f67414b59a844dc276c423754545a7e,100,False
task4a.sql,medium,15,113,5,,100.0,,,47bc5659c4606c4fe5a67f248bb798a6b85b6f5fbfb0dd40c6472b5805550ffa,500,False
task4a.sql,large,15,113,10,,100.0,,,4a8efc4fb44183cd2b2b692d31c6d906de500230cdc9f110e15d7396eea7bf40,2000,False
task5a.sql,clean,18,99,8,,100.0,,,ed792558b9f127eb53e6c8880f4e528a03a98fc9135c58c9ef1c695cc5f8dc66,500,False
task5a.sql,null_heavy,18,99,4,,100.0,,,7200360da0b79da765ed8cc55f308bc92983c1f26343c563f4b96a7b31759a29,369,False
task5a.sql,duplicate_heavy,18,99,2,,100.0,,,1994edc42c95f694d975b5e4070c2dc6b99f57720a5c540a75d25cbe075b248b,585,False
task5a.sql,medium,18,99,4,,100.0,,,09f52a31166c5997ca2912c7261a513cfdbe70f64262af94b7361d74b6460b26,5000,False
task5a.sql,large,18,99,24,,100.0,,,3406e918778c069327f61b91c8a6dc45cee4c2b2ee6e645902d3c5e954e9eaaa,50000,False
task6a.sql,clean,17,109,2,,100.0,,,b8eb0363cad645e224487403bae6a4ebc65557a1693c0fbaaf5797fbceba4b40,1,False
task6a.sql,null_heavy,17,109,4,,100.0,,,dc30dd239041ba65bf1d393d351fcd71d6a6135fd4b835959166f0ba624cca9c,2,False
task6a.sql,duplicate_heavy,17,109,2,,100.0,,,519b60d6a222c8dad603bb3559888230a21445a620826ddb9d18606fc731a44d,0,False
task6a.sql,medium,17,109,4,,100.0,,,519b60d6a222c8dad603bb3559888230a21445a620826ddb9d18606fc731a44d,0,False
