txn_id,account_id,txn_date,txn_amount,merchant_category,z_score,is_outlier
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0030,2024-10-21,6600.33,TRAVEL,0.6023309947679227,False
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0069,2024-07-02,276.01,TRAVEL,-1.5374392067347875,False
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0094,2023-12-03,4363.94,RETAIL,-0.21670678635310367,False
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0067,2023-02-14,5384.52,HEALTHCARE,0.20209329925616265,False
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0043,2023-07-31,6633.87,TRAVEL,0.6136789171624886,False
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0071,2024-07-06,4204.46,HEALTHCARE,-0.1926204630583696,False
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0037,2023-09-12,7857.58,TRAVEL,1.0277089145821134,False
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0095,2023-04-07,847.96,HEALTHCARE,-1.3153233283438017,False
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0087,2024-04-25,8065.62,RETAIL,1.094790440309016,False
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0074,2024-08-02,6963.54,GROCERY,0.6390298546380884,False
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0090,2023-09-21,502.19,RETAIL,-1.5849164681901184,False
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0077,2023-08-03,7552.5,HEALTHCARE,0.9272526491389306,False
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0061,2023-07-17,7517.76,TRAVEL,0.9127342279953103,False
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0037,2024-08-12,3358.48,RETAIL,-0.5729390920952786,False
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0028,2024-10-29,4076.0,DINING,-0.38683030796172585,False
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0090,2024-12-25,8806.56,DINING,1.1327700722950305,False
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0054,2023-08-20,7346.34,GROCERY,0.7772056330654663,False
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0044,2024-08-23,7981.42,DINING,0.8677098980735728,False
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0011,2024-04-09,1357.0,RETAIL,-1.2820591319743875,False
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0098,2024-04-17,2782.57,DINING,-0.8023195354179882,False
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0045,2024-11-30,686.19,RETAIL,-1.519725665715072,False
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0031,2023-09-12,6694.59,GROCERY,0.5419494585878186,False
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0096,2024-09-12,7777.91,TRAVEL,1.0007533696454687,False
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0049,2023-03-30,7150.14,HEALTHCARE,0.7926687895005435,False
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_0088,2024-01-11,1210.56,RETAIL,-1.3339425075963756,False
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0002,2023-03-22,8223.3,TRAVEL,1.1514466062380653,False
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0084,2023-09-12,8081.99,DINING,0.9000160542670089,False
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0012,2023-04-17,4508.02,UTILITIES,-0.21365432869283577,False
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0024,2023-05-01,3548.25,TRAVEL,-0.43030964273972905,False
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0031,2023-09-01,4885.78,HEALTHCARE,0.03527166152863183,False
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_0029,2023-09-04,2433.06,TRAVEL,-0.8076229872595838,False
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0046,2024-06-17,2709.17,RETAIL,-0.8029882222858896,False
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0089,2023-05-08,2163.85,HEALTHCARE,-0.8751763081142628,False
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0047,2024-11-15,141.49,TRAVEL,-1.5829526987001128,False
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0097,2023-08-29,8727.19,DINING,1.1072740037152056,False
SYNTHETIC_TXN_000036,SYNTHETIC_ACCT_0062,2023-03-28,653.44,UTILITIES,-1.619697330483934,False
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0039,2023-04-21,2481.91,DINING,-0.8989007119230947,False
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0076,2024-09-21,3053.81,UTILITIES,-0.7441094739057081,False
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0031,2023-01-26,750.66,DINING,-1.4550310978223349,False
SYNTHETIC_TXN_000040,SYNTHETIC_ACCT_0037,2023-04-01,4540.31,TRAVEL,-0.09465609799455807,False
SYNTHETIC_TXN_000041,SYNTHETIC_ACCT_0020,2024-02-21,8266.31,GROCERY,1.109278702239538,False
