account_id,balance_date,closing_balance,seven_day_moving_avg_balance
SYNTHETIC_ACCT_0001,2024-10-03,3427.8,3427.8
SYNTHETIC_ACCT_0001,2024-10-04,4039.58,3733.69
SYNTHETIC_ACCT_0001,2024-10-05,3593.76,3687.0466666666666
SYNTHETIC_ACCT_0001,2024-10-06,3242.35,3575.8725
SYNTHETIC_ACCT_0001,2024-10-07,4083.24,3677.346
SYNTHETIC_ACCT_0001,2024-10-08,4964.21,3891.8233333333333
SYNTHETIC_ACCT_0001,2024-10-09,5443.2,4113.448571428571
SYNTHETIC_ACCT_0001,2024-10-10,5112.2,4354.077142857143
SYNTHETIC_ACCT_0001,2024-10-11,5299.53,4534.070000000001
SYNTHETIC_ACCT_0001,2024-10-12,6091.54,4890.895714285713
SYNTHETIC_ACCT_0001,2024-10-13,5726.07,5245.7128571428575
SYNTHETIC_ACCT_0001,2024-10-14,6302.31,5562.722857142857
SYNTHETIC_ACCT_0001,2024-10-15,5854.29,5689.877142857143
SYNTHETIC_ACCT_0001,2024-10-16,6135.21,5788.7357142857145
SYNTHETIC_ACCT_0001,2024-10-17,6937.36,6049.472857142858
SYNTHETIC_ACCT_0001,2024-10-18,7495.79,6363.2242857142855
SYNTHETIC_ACCT_0001,2024-10-19,7752.83,6600.551428571429
SYNTHETIC_ACCT_0001,2024-10-20,8496.07,6996.265714285714
SYNTHETIC_ACCT_0001,2024-10-21,8474.63,7306.597142857143
SYNTHETIC_ACCT_0001,2024-10-22,9204.41,7785.185714285714
SYNTHETIC_ACCT_0001,2024-10-23,9708.69,8295.682857142858
SYNTHETIC_ACCT_0001,2024-10-24,9762.33,8699.25
SYNTHETIC_ACCT_0001,2024-10-25,9417.44,8973.77142857143
SYNTHETIC_ACCT_0001,2024-10-26,9069.65,9161.888571428572
SYNTHETIC_ACCT_0001,2024-10-27,9592.86,9318.572857142859
SYNTHETIC_ACCT_0001,2024-10-28,10393.76,9592.734285714285
SYNTHETIC_ACCT_0001,2024-10-29,9928.84,9696.224285714286
SYNTHETIC_ACCT_0001,2024-10-30,10359.43,9789.187142857143
SYNTHETIC_ACCT_0001,2024-10-31,11343.58,10015.08
SYNTHETIC_ACCT_0001,2024-11-01,11177.66,10266.539999999999
SYNTHETIC_ACCT_0001,2024-11-02,11821.09,10659.602857142858
SYNTHETIC_ACCT_0001,2024-11-03,12114.89,11019.892857142857
SYNTHETIC_ACCT_0001,2024-11-04,12589.19,11333.525714285714
SYNTHETIC_ACCT_0001,2024-11-05,13229.25,11805.012857142856
SYNTHETIC_ACCT_0001,2024-11-06,13842.66,12302.617142857143
SYNTHETIC_ACCT_0001,2024-11-07,13429.89,12600.66142857143
SYNTHETIC_ACCT_0001,2024-11-08,13368.3,12913.61
SYNTHETIC_ACCT_0001,2024-11-09,13507.92,13154.585714285715
SYNTHETIC_ACCT_0001,2024-11-10,13707.34,13382.078571428572
SYNTHETIC_ACCT_0001,2024-11-11,13469.59,13507.85
SYNTHETIC_ACCT_0001,2024-11-12,14291.31,13659.572857142857
SYNTHETIC_ACCT_0001,2024-11-13,14854.59,13804.134285714284
SYNTHETIC_ACCT_0001,2024-11-14,14428.0,13946.721428571427
SYNTHETIC_ACCT_0001,2024-11-15,15303.05,14223.114285714286
SYNTHETIC_ACCT_0001,2024-11-16,15333.52,14483.914285714287
SYNTHETIC_ACCT_0001,2024-11-17,15505.83,14740.84142857143
