account_id,balance_date,closing_balance,day_over_day_change
SYNTHETIC_ACCT_0001,2024-10-03,6665.53,6665.53
SYNTHETIC_ACCT_0001,2024-10-04,7553.68,888.1500000000005
SYNTHETIC_ACCT_0001,2024-10-05,8190.34,636.6599999999999
SYNTHETIC_ACCT_0001,2024-10-06,8991.03,800.6900000000005
SYNTHETIC_ACCT_0001,2024-10-07,9822.41,831.3799999999992
SYNTHETIC_ACCT_0001,2024-10-08,10425.41,603.0
SYNTHETIC_ACCT_0001,2024-10-09,11334.12,908.710000000001
SYNTHETIC_ACCT_0001,2024-10-10,12147.79,813.6700000000001
SYNTHETIC_ACCT_0001,2024-10-11,12333.14,185.34999999999854
SYNTHETIC_ACCT_0001,2024-10-12,12611.19,278.0500000000011
SYNTHETIC_ACCT_0001,2024-10-13,12692.29,81.10000000000036
SYNTHETIC_ACCT_0001,2024-10-14,12629.06,-63.23000000000138
SYNTHETIC_ACCT_0001,2024-10-15,12821.08,192.02000000000044
SYNTHETIC_ACCT_0001,2024-10-16,13356.01,534.9300000000003
SYNTHETIC_ACCT_0001,2024-10-17,13533.56,177.54999999999927
SYNTHETIC_ACCT_0001,2024-10-18,14440.32,906.7600000000002
SYNTHETIC_ACCT_0001,2024-10-19,14425.51,-14.80999999999949
SYNTHETIC_ACCT_0001,2024-10-20,15249.33,823.8199999999997
SYNTHETIC_ACCT_0001,2024-10-21,16110.07,860.7399999999998
SYNTHETIC_ACCT_0001,2024-10-22,15746.86,-363.2099999999991
SYNTHETIC_ACCT_0001,2024-10-23,16032.59,285.72999999999956
SYNTHETIC_ACCT_0001,2024-10-24,16450.7,418.1100000000006
SYNTHETIC_ACCT_0001,2024-10-25,17103.09,652.3899999999994
SYNTHETIC_ACCT_0001,2024-10-26,16846.28,-256.8100000000013
SYNTHETIC_ACCT_0001,2024-10-27,16975.65,129.37000000000262
SYNTHETIC_ACCT_0001,2024-10-28,16908.82,-66.83000000000175
SYNTHETIC_ACCT_0001,2024-10-29,16414.12,-494.7000000000007
SYNTHETIC_ACCT_0001,2024-10-30,17197.24,783.1200000000026
SYNTHETIC_ACCT_0001,2024-10-31,17054.06,-143.1800000000003
SYNTHETIC_ACCT_0001,2024-11-01,17216.87,162.80999999999767
SYNTHETIC_ACCT_0001,2024-11-02,17134.04,-82.82999999999811
SYNTHETIC_ACCT_0001,2024-11-03,16707.42,-426.6200000000026
SYNTHETIC_ACCT_0001,2024-11-04,16425.48,-281.9399999999987
SYNTHETIC_ACCT_0001,2024-11-05,16373.14,-52.340000000000146
SYNTHETIC_ACCT_0001,2024-11-06,17363.74,990.6000000000022
SYNTHETIC_ACCT_0001,2024-11-07,17722.16,358.41999999999825
SYNTHETIC_ACCT_0001,2024-11-08,17762.44,40.279999999998836
SYNTHETIC_ACCT_0001,2024-11-09,17815.29,52.85000000000218
SYNTHETIC_ACCT_0001,2024-11-10,18580.25,764.9599999999991
SYNTHETIC_ACCT_0001,2024-11-11,19122.18,541.9300000000003
SYNTHETIC_ACCT_0001,2024-11-12,18936.95,-185.22999999999956
SYNTHETIC_ACCT_0001,2024-11-13,19531.54,594.5900000000001
SYNTHETIC_ACCT_0001,2024-11-14,20117.65,586.1100000000006
SYNTHETIC_ACCT_0001,2024-11-15,20258.23,140.5799999999981
SYNTHETIC_ACCT_0001,2024-11-16,21250.77,992.5400000000009
SYNTHETIC_ACCT_0001,2024-11-17,21495.37,244.59999999999854
SYNTHETIC_ACCT_0001,2024-11-18,22320.87,825.5
SYNTHETIC_ACCT_0001,2024-11-19,21823.24,-497.6299999999974
SYNTHETIC_ACCT_0001,2024-11-20,22429.44,606.1999999999971
SYNTHETIC_ACCT_0001,2024-11-21,22550.5,121.06000000000131
SYNTHETIC_ACCT_0001,2024-11-22,22369.01,-181.4900000000016
SYNTHETIC_ACCT_0001,2024-11-23,23054.3,685.2900000000009
SYNTHETIC_ACCT_0001,2024-11-24,23704.85,650.5499999999993
SYNTHETIC_ACCT_0001,2024-11-25,24291.44,586.5900000000001
SYNTHETIC_ACCT_0001,2024-11-26,24082.46,-208.97999999999956
SYNTHETIC_ACCT_0001,2024-11-27,24956.7,874.2400000000016
SYNTHETIC_ACCT_0001,2024-11-28,24689.78,-266.9200000000019
SYNTHETIC_ACCT_0001,2024-11-29,24883.49,193.71000000000276
SYNTHETIC_ACCT_0001,2024-11-30,25636.15,752.6599999999999
SYNTHETIC_ACCT_0001,2024-12-01,25968.92,332.7699999999968
SYNTHETIC_ACCT_0001,2024-12-02,26668.22,699.3000000000029
SYNTHETIC_ACCT_0001,2024-12-03,26588.91,-79.31000000000131
SYNTHETIC_ACCT_0001,2024-12-04,26890.32,301.40999999999985
SYNTHETIC_ACCT_0001,2024-12-05,27283.11,392.7900000000009
SYNTHETIC_ACCT_0001,2024-12-06,27847.87,564.7599999999984
SYNTHETIC_ACCT_0001,2024-12-07,27905.25,57.38000000000102
SYNTHETIC_ACCT_0001,2024-12-08,27858.73,-46.52000000000044
SYNTHETIC_ACCT_0001,2024-12-09,28728.76,870.0299999999988
SYNTHETIC_ACCT_0001,2024-12-10,29586.19,857.4300000000003
SYNTHETIC_ACCT_0001,2024-12-11,30184.85,598.6599999999999
SYNTHETIC_ACCT_0001,2024-12-12,30839.07,654.2200000000012
SYNTHETIC_ACCT_0001,2024-12-13,31354.15,515.0800000000017
SYNTHETIC_ACCT_0001,2024-12-14,31435.53,81.37999999999738
SYNTHETIC_ACCT_0001,2024-12-15,32334.04,898.510000000002
SYNTHETIC_ACCT_0001,2024-12-16,32333.97,-0.06999999999970896
SYNTHETIC_ACCT_0001,2024-12-17,31867.69,-466.2800000000025
SYNTHETIC_ACCT_0001,2024-12-18,31849.01,-18.68000000000029
SYNTHETIC_ACCT_0001,2024-12-19,32508.19,659.1800000000003
SYNTHETIC_ACCT_0001,2024-12-20,32418.65,-89.53999999999724
SYNTHETIC_ACCT_0001,2024-12-21,32072.21,-346.4400000000023
