account_id,balance_date,closing_balance,day_over_day_change
SYNTHETIC_ACCT_0001,2024-10-03,3427.8,3427.8
SYNTHETIC_ACCT_0001,2024-10-04,4039.58,611.7799999999997
SYNTHETIC_ACCT_0001,2024-10-05,3593.76,-445.8199999999997
SYNTHETIC_ACCT_0001,2024-10-06,3242.35,-351.4100000000003
SYNTHETIC_ACCT_0001,2024-10-07,4083.24,840.8899999999999
SYNTHETIC_ACCT_0001,2024-10-08,4964.21,880.9700000000003
SYNTHETIC_ACCT_0001,2024-10-09,5443.2,478.9899999999998
SYNTHETIC_ACCT_0001,2024-10-10,5112.2,-331.0
SYNTHETIC_ACCT_0001,2024-10-11,5299.53,187.32999999999993
SYNTHETIC_ACCT_0001,2024-10-12,6091.54,792.0100000000002
SYNTHETIC_ACCT_0001,2024-10-13,5726.07,-365.47000000000025
SYNTHETIC_ACCT_0001,2024-10-14,6302.31,576.2400000000007
SYNTHETIC_ACCT_0001,2024-10-15,5854.29,-448.02000000000044
SYNTHETIC_ACCT_0001,2024-10-16,6135.21,280.9200000000001
SYNTHETIC_ACCT_0001,2024-10-17,6937.36,802.1499999999996
SYNTHETIC_ACCT_0001,2024-10-18,7495.79,558.4300000000003
SYNTHETIC_ACCT_0001,2024-10-19,7752.83,257.03999999999996
SYNTHETIC_ACCT_0001,2024-10-20,8496.07,743.2399999999998
SYNTHETIC_ACCT_0001,2024-10-21,8474.63,-21.44000000000051
SYNTHETIC_ACCT_0001,2024-10-22,9204.41,729.7800000000007
SYNTHETIC_ACCT_0001,2024-10-23,9708.69,504.28000000000065
SYNTHETIC_ACCT_0001,2024-10-24,9762.33,53.63999999999942
SYNTHETIC_ACCT_0001,2024-10-25,9417.44,-344.8899999999994
SYNTHETIC_ACCT_0001,2024-10-26,9069.65,-347.7900000000009
SYNTHETIC_ACCT_0001,2024-10-27,9592.86,523.210000000001
SYNTHETIC_ACCT_0001,2024-10-28,10393.76,800.8999999999996
SYNTHETIC_ACCT_0001,2024-10-29,9928.84,-464.9200000000001
SYNTHETIC_ACCT_0001,2024-10-30,10359.43,430.59000000000015
SYNTHETIC_ACCT_0001,2024-10-31,11343.58,984.1499999999996
SYNTHETIC_ACCT_0001,2024-11-01,11177.66,-165.92000000000007
SYNTHETIC_ACCT_0001,2024-11-02,11821.09,643.4300000000003
SYNTHETIC_ACCT_0001,2024-11-03,12114.89,293.7999999999993
SYNTHETIC_ACCT_0001,2024-11-04,12589.19,474.3000000000011
SYNTHETIC_ACCT_0001,2024-11-05,13229.25,640.0599999999995
SYNTHETIC_ACCT_0001,2024-11-06,13842.66,613.4099999999999
SYNTHETIC_ACCT_0001,2024-11-07,13429.89,-412.77000000000044
SYNTHETIC_ACCT_0001,2024-11-08,13368.3,-61.590000000000146
SYNTHETIC_ACCT_0001,2024-11-09,13507.92,139.6200000000008
SYNTHETIC_ACCT_0001,2024-11-10,13707.34,199.42000000000007
SYNTHETIC_ACCT_0001,2024-11-11,13469.59,-237.75
SYNTHETIC_ACCT_0001,2024-11-12,14291.31,821.7199999999993
SYNTHETIC_ACCT_0001,2024-11-13,14854.59,563.2800000000007
SYNTHETIC_ACCT_0001,2024-11-14,14428.0,-426.59000000000015
SYNTHETIC_ACCT_0001,2024-11-15,15303.05,875.0499999999993
SYNTHETIC_ACCT_0001,2024-11-16,15333.52,30.470000000001164
SYNTHETIC_ACCT_0001,2024-11-17,15505.83,172.3099999999995
SYNTHETIC_ACCT_0001,2024-11-18,16073.33,567.5
SYNTHETIC_ACCT_0001,2024-11-19,16310.04,236.71000000000095
SYNTHETIC_ACCT_0001,2024-11-20,17263.16,953.119999999999
SYNTHETIC_ACCT_0001,2024-11-21,18148.48,885.3199999999997
SYNTHETIC_ACCT_0001,2024-11-22,18243.79,95.31000000000131
SYNTHETIC_ACCT_0001,2024-11-23,19174.11,930.3199999999997
SYNTHETIC_ACCT_0001,2024-11-24,20077.22,903.1100000000006
SYNTHETIC_ACCT_0001,2024-11-25,20878.51,801.2899999999972
SYNTHETIC_ACCT_0001,2024-11-26,20680.26,-198.25
