account_id,first_closing_balance,last_closing_balance
SYNTHETIC_ACCT_0001,28996.56,28996.56
SYNTHETIC_ACCT_0001,28996.56,29215.46
SYNTHETIC_ACCT_0001,28996.56,29585.2
SYNTHETIC_ACCT_0001,28996.56,29704.9
SYNTHETIC_ACCT_0001,28996.56,29894.65
SYNTHETIC_ACCT_0001,28996.56,29925.41
SYNTHETIC_ACCT_0001,28996.56,30059.82
SYNTHETIC_ACCT_0001,28996.56,30258.87
SYNTHETIC_ACCT_0001,28996.56,30978.43
SYNTHETIC_ACCT_0001,28996.56,31022.29
SYNTHETIC_ACCT_0001,28996.56,31243.95
SYNTHETIC_ACCT_0001,28996.56,31439.82
SYNTHETIC_ACCT_0001,28996.56,31441.43
SYNTHETIC_ACCT_0001,28996.56,31471.18
SYNTHETIC_ACCT_0001,28996.56,31489.71
SYNTHETIC_ACCT_0001,28996.56,31564.85
SYNTHETIC_ACCT_0001,28996.56,31726.78
SYNTHETIC_ACCT_0001,28996.56,31764.46
SYNTHETIC_ACCT_0001,28996.56,31799.03
SYNTHETIC_ACCT_0001,28996.56,32017.01
SYNTHETIC_ACCT_0001,28996.56,32606.31
SYNTHETIC_ACCT_0001,28996.56,33286.07
SYNTHETIC_ACCT_0001,28996.56,34238.94
SYNTHETIC_ACCT_0001,28996.56,34714.68
SYNTHETIC_ACCT_0001,28996.56,34965.56
SYNTHETIC_ACCT_0001,28996.56,35223.45
SYNTHETIC_ACCT_0001,28996.56,35585.96
SYNTHETIC_ACCT_0001,28996.56,36274.72
SYNTHETIC_ACCT_0001,28996.56,36741.35
SYNTHETIC_ACCT_0001,28996.56,36978.19
SYNTHETIC_ACCT_0001,28996.56,36990.97
SYNTHETIC_ACCT_0001,28996.56,37390.23
SYNTHETIC_ACCT_0001,28996.56,38168.07
SYNTHETIC_ACCT_0001,28996.56,38586.53
SYNTHETIC_ACCT_0001,28996.56,38609.02
SYNTHETIC_ACCT_0001,28996.56,38740.86
SYNTHETIC_ACCT_0001,28996.56,38887.14
SYNTHETIC_ACCT_0001,28996.56,38895.69
SYNTHETIC_ACCT_0001,28996.56,38907.58
SYNTHETIC_ACCT_0001,28996.56,39125.65
SYNTHETIC_ACCT_0001,28996.56,39254.91
SYNTHETIC_ACCT_0001,28996.56,39267.72
SYNTHETIC_ACCT_0001,28996.56,39433.82
SYNTHETIC_ACCT_0001,28996.56,39509.53
SYNTHETIC_ACCT_0001,28996.56,39620.53
SYNTHETIC_ACCT_0001,28996.56,39948.9
SYNTHETIC_ACCT_0001,28996.56,40945.54
SYNTHETIC_ACCT_0001,28996.56,41466.34
SYNTHETIC_ACCT_0001,28996.56,41597.16
SYNTHETIC_ACCT_0001,28996.56,42010.26
SYNTHETIC_ACCT_0001,28996.56,42392.34
SYNTHETIC_ACCT_0001,28996.56,42459.72
SYNTHETIC_ACCT_0001,28996.56,42592.13
SYNTHETIC_ACCT_0001,28996.56,42615.17
SYNTHETIC_ACCT_0001,28996.56,42654.79
SYNTHETIC_ACCT_0001,28996.56,42661.78
SYNTHETIC_ACCT_0001,28996.56,42965.85
SYNTHETIC_ACCT_0001,28996.56,43061.38
SYNTHETIC_ACCT_0001,28996.56,43115.58
SYNTHETIC_ACCT_0001,28996.56,43192.97
SYNTHETIC_ACCT_0001,28996.56,43954.71
SYNTHETIC_ACCT_0001,28996.56,44299.65
SYNTHETIC_ACCT_0001,28996.56,44805.32
SYNTHETIC_ACCT_0001,28996.56,44953.91
SYNTHETIC_ACCT_0001,28996.56,45113.16
SYNTHETIC_ACCT_0001,28996.56,45656.68
SYNTHETIC_ACCT_0001,28996.56,45704.91
SYNTHETIC_ACCT_0001,28996.56,46277.45
SYNTHETIC_ACCT_0001,28996.56,46471.2
SYNTHETIC_ACCT_0001,28996.56,46592.79
SYNTHETIC_ACCT_0001,28996.56,46697.48
SYNTHETIC_ACCT_0001,28996.56,46800.61
SYNTHETIC_ACCT_0001,28996.56,47067.61
SYNTHETIC_ACCT_0001,28996.56,47087.73
SYNTHETIC_ACCT_0001,28996.56,47095.65
SYNTHETIC_ACCT_0001,28996.56,47293.89
SYNTHETIC_ACCT_0001,28996.56,47389.55
SYNTHETIC_ACCT_0001,28996.56,47392.86
SYNTHETIC_ACCT_0001,28996.56,47447.81
SYNTHETIC_ACCT_0001,28996.56,47487.01
SYNTHETIC_ACCT_0001,28996.56,47569.62
SYNTHETIC_ACCT_0001,28996.56,47704.83
SYNTHETIC_ACCT_0001,28996.56,47988.7
SYNTHETIC_ACCT_0001,28996.56,48419.09
SYNTHETIC_ACCT_0001,28996.56,48615.24
SYNTHETIC_ACCT_0001,28996.56,48721.78
SYNTHETIC_ACCT_0001,28996.56,49337.7
SYNTHETIC_ACCT_0001,28996.56,49483.53
SYNTHETIC_ACCT_0001,28996.56,49631.84
SYNTHETIC_ACCT_0001,28996.56,49977.47
SYNTHETIC_ACCT_0002,29514.64,29379.84
SYNTHETIC_ACCT_0002,29514.64,29514.64
SYNTHETIC_ACCT_0002,29514.64,30152.91
SYNTHETIC_ACCT_0002,29514.64,30670.23
SYNTHETIC_ACCT_0002,29514.64,30733.97
SYNTHETIC_ACCT_0002,29514.64,31656.6
SYNTHETIC_ACCT_0002,29514.64,32467.25
SYNTHETIC_ACCT_0002,29514.64,32573.35
SYNTHETIC_ACCT_0002,29514.64,32859.81
SYNTHETIC_ACCT_0002,29514.64,33249.16
SYNTHETIC_ACCT_0002,29514.64,33920.78
SYNTHETIC_ACCT_0002,29514.64,34238.05
SYNTHETIC_ACCT_0002,29514.64,34517.67
SYNTHETIC_ACCT_0002,29514.64,35011.62
SYNTHETIC_ACCT_0002,29514.64,35809.57
SYNTHETIC_ACCT_0002,29514.64,35951.81
SYNTHETIC_ACCT_0002,29514.64,36038.77
SYNTHETIC_ACCT_0002,29514.64,36196.57
SYNTHETIC_ACCT_0002,29514.64,36599.76
SYNTHETIC_ACCT_0002,29514.64,36691.99
SYNTHETIC_ACCT_0002,29514.64,36753.91
SYNTHETIC_ACCT_0002,29514.64,37083.79
SYNTHETIC_ACCT_0002,29514.64,37101.19
SYNTHETIC_ACCT_0002,29514.64,37104.03
SYNTHETIC_ACCT_0002,29514.64,37363.05
SYNTHETIC_ACCT_0002,29514.64,37471.35
SYNTHETIC_ACCT_0002,29514.64,37490.51
SYNTHETIC_ACCT_0002,29514.64,37517.03
SYNTHETIC_ACCT_0002,29514.64,37609.88
SYNTHETIC_ACCT_0002,29514.64,37630.63
SYNTHETIC_ACCT_0002,29514.64,37653.09
SYNTHETIC_ACCT_0002,29514.64,37700.66
SYNTHETIC_ACCT_0002,29514.64,38010.93
SYNTHETIC_ACCT_0002,29514.64,38031.58
SYNTHETIC_ACCT_0002,29514.64,38041.02
SYNTHETIC_ACCT_0002,29514.64,38123.16
SYNTHETIC_ACCT_0002,29514.64,38143.55
SYNTHETIC_ACCT_0002,29514.64,38647.64
SYNTHETIC_ACCT_0002,29514.64,39238.03
SYNTHETIC_ACCT_0002,29514.64,39920.65
SYNTHETIC_ACCT_0002,29514.64,39933.5
SYNTHETIC_ACCT_0002,29514.64,39964.97
SYNTHETIC_ACCT_0002,29514.64,40370.98
SYNTHETIC_ACCT_0002,29514.64,40419.8
SYNTHETIC_ACCT_0002,29514.64,40481.4
SYNTHETIC_ACCT_0002,29514.64,40489.17
SYNTHETIC_ACCT_0002,29514.64,40800.37
SYNTHETIC_ACCT_0002,29514.64,40840.41
SYNTHETIC_ACCT_0002,29514.64,40897.7
SYNTHETIC_ACCT_0002,29514.64,40908.46
SYNTHETIC_ACCT_0002,29514.64,41702.18
SYNTHETIC_ACCT_0002,29514.64,42682.29
SYNTHETIC_ACCT_0002,29514.64,42777.28
SYNTHETIC_ACCT_0002,29514.64,42805.4
SYNTHETIC_ACCT_0002,29514.64,42884.72
SYNTHETIC_ACCT_0002,29514.64,43028.84
SYNTHETIC_ACCT_0002,29514.64,43110.77
SYNTHETIC_ACCT_0002,29514.64,43476.46
SYNTHETIC_ACCT_0002,29514.64,43829.08
SYNTHETIC_ACCT_0002,29514.64,44072.08
SYNTHETIC_ACCT_0002,29514.64,44088.81
SYNTHETIC_ACCT_0002,29514.64,44119.43
SYNTHETIC_ACCT_0002,29514.64,44262.35
SYNTHETIC_ACCT_0002,29514.64,44416.3
SYNTHETIC_ACCT_0002,29514.64,44445.1
